date,tweets,pos,neg,neutr,open,high,low,volume,close
2016-02-08,304,62,44,198,157.1,157.15,146,9297941,147.99
2016-02-09,162,32,23,107,142.32,159.79,141.05,8575099,148.25
2016-02-10,898,209,93,596,150.5,154.97,141.74,9067292,143.67
2016-02-11,3349,986,439,1924,152,163.26,147,14231392,150.47
2016-02-12,837,174,86,577,155,157.01,143.7,7202970,151.04
2016-02-16,651,115,39,497,158.7,162.95,154.11,5556314,155.17
2016-02-17,641,105,34,502,159,169.34,156.68,5807071,168.68
2016-02-18,570,82,44,444,172.42,172.95,164.77,3785336,166.77
2016-02-19,451,71,27,353,163.66,167.49,162.5,2952880,166.58
2016-02-22,508,109,20,379,170.12,178.91,169.85,5051180,177.74
2016-02-23,558,92,31,435,176.16,181.73,173.68,5968028,177.21
2016-02-24,566,98,28,440,172.75,179.5,167.84,5380712,179
2016-02-25,704,172,56,476,178.65,188.52,175.2,5720514,187.43
2016-02-26,502,88,36,378,188.7,192,185,6052910,190.34
2016-02-29,578,101,44,433,192.4,196.35,189.22,4479719,191.93
2016-03-01,990,194,101,695,194.25,195.95,182.7,6701674,186.35
2016-03-02,859,174,79,606,183.73,188.52,181.5,4832986,188.34
2016-03-03,693,129,53,511,188.28,197.42,184.22,4820497,195.74
2016-03-04,612,139,62,411,198,204.03,197.5,6469772,201.04
2016-03-07,505,98,47,360,197.68,209.7,197.4,5329369,205.29
2016-03-08,464,78,37,349,203.5,207.5,202.2,4130816,202.6
2016-03-09,646,133,67,446,204.52,209.37,202.79,3160081,208.72
2016-03-10,681,166,98,417,210,213.29,200.67,5183177,205.18
2016-03-11,835,82,42,711,207.93,209.42,205.33,3300358,207.5
2016-03-14,810,159,39,612,212.65,216.72,210.64,4054723,215.15
2016-03-15,589,118,86,385,214.27,218.97,211.5,3180452,218.34
2016-03-16,582,113,37,432,218,222.58,217.02,3462107,221.93
2016-03-17,632,135,44,453,221.47,228.5,220,3754756,226.38
2016-03-18,768,193,90,485,229.1,234.48,228.06,4698180,232.74
2016-03-21,983,211,52,720,235.34,239.88,235,5286697,238.32
2016-03-22,898,211,71,616,237.21,238.99,232.56,4300628,234.24
2016-03-23,898,202,91,605,232.37,234.73,222.03,4921013,222.58
2016-03-24,910,183,73,654,215.78,228.89,215,4954411,227.75
2016-03-28,812,171,43,598,231.61,234.81,225,3875451,230.26
2016-03-29,726,159,58,509,229.89,232.38,225.33,4004940,230.13
2016-03-30,750,137,40,573,235.09,235.5,226.5,4019667,226.89
2016-03-31,1686,360,137,1189,229.34,237.42,225.01,7956740,229.77
2016-04-01,3552,909,310,2333,244.82,247.9,233.25,15962015,237.59
2016-04-04,2288,665,196,1427,249.12,252.12,243.64,13289584,246.99
2016-04-05,2083,523,195,1365,240.5,256.56,240,9915160,255.47
2016-04-06,1666,384,156,1126,253.97,267.74,253.45,11679883,265.42
2016-04-07,1589,365,156,1068,266.45,269.34,254.51,8836815,257.2
2016-04-08,1070,246,114,710,260.5,260.82,248.02,7332157,250.07
2016-04-11,75,10,8,57,251,258.99,245.3,9153901,249.92
2016-04-12,686,194,67,425,249.5,251.8,243.63,5750757,247.82
2016-04-13,975,190,62,723,248.51,255.5,247.33,4917930,254.53
2016-04-14,729,142,73,514,253,256.84,251.05,4119980,251.86
2016-04-15,698,167,47,484,251.31,254.6,249.12,3742018,254.51
2016-04-18,621,88,57,476,252.23,258.31,251.66,4261782,253.88
2016-04-19,887,166,93,628,253.12,254.37,241.25,6349403,247.37
2016-04-20,845,188,70,587,246.26,253.66,241.5,5190831,249.97
2016-04-21,830,142,65,623,248.99,250.9,246.91,2783059,248.29
2016-04-22,735,118,65,552,248.89,254,245.71,3774648,253.75
2016-04-25,673,129,58,486,253.01,257.38,250.76,3664293,251.82
2016-04-26,630,117,59,454,252.05,255.73,249.39,3212470,253.74
2016-04-27,721,123,67,531,252.75,255,249.4,3190682,251.47
2016-04-28,625,111,43,471,249.85,253.43,247.44,2509509,247.71
2016-04-29,668,137,47,484,248.14,248.43,237.81,5388701,240.76
2016-05-02,863,184,49,630,241.5,243.19,234.82,3836429,241.8
2016-05-03,896,168,71,657,237.36,238.91,231.62,4289174,232.32
2016-05-04,2037,502,174,1361,230.29,234.46,220.4,8262540,222.56
2016-05-05,2613,743,276,1594,228.46,228.64,209.79,11235835,211.53
2016-05-06,1013,202,82,729,210.87,216.37,208.11,5681078,214.93
2016-05-09,704,168,70,466,215.72,216.15,206.8,4758131,208.92
2016-05-10,751,193,74,484,207.55,209.47,205,4065214,208.69
2016-05-11,1146,255,146,745,207.59,215.48,206.05,5153730,208.96
2016-05-12,734,157,84,493,211.44,211.67,203.66,3646943,207.28
2016-05-13,601,111,79,411,207.78,211.2,206.7,2819264,207.61
2016-05-16,607,172,55,380,208.15,213.15,207.92,2945072,208.29
2016-05-17,709,158,97,454,209.05,209.82,204.02,2841168,204.66
2016-05-18,1724,388,212,1124,209.15,215.31,207.75,5384698,211.17
2016-05-19,1971,456,244,1271,213.62,216.79,207.3,6811976,215.21
2016-05-20,1179,282,106,791,216.99,220.55,216.35,8951773,220.28
2016-05-23,753,200,67,486,219.87,222.6,215.86,5093158,216.22
2016-05-24,63,16,5,42,216.6,218.74,215.18,3008774,217.91
2016-05-25,716,189,57,470,217.91,221.36,216.51,3126822,219.58
2016-05-26,887,206,99,582,220.5,225.26,219.05,4064013,225.12
2016-05-27,604,112,51,441,224.99,225.93,220.75,3642740,223.04
2016-05-31,482,103,47,332,223.04,224.75,221.5,2789002,223.23
2016-06-01,998,327,74,597,221.48,222.4,216.89,2982695,219.56
2016-06-02,1066,184,139,743,219.59,219.91,217.11,2032832,218.96
2016-06-03,654,124,92,438,220,221.94,218.01,2228970,218.99
2016-06-06,664,84,44,536,218,220.9,215.45,2249508,220.68
2016-06-07,1031,251,80,700,222.24,234.44,221.52,6213573,232.34
2016-06-08,1027,235,69,723,233.8,240.84,232.6,5971995,235.52
2016-06-09,1081,213,94,774,234.98,235.33,227.06,4492075,229.36
2016-06-10,1565,379,175,1011,227.39,227.97,218.42,6026603,218.79
2016-06-13,649,135,49,465,219.5,225.77,217.66,4193022,217.87
2016-06-14,665,116,51,498,218.88,222.2,212.53,3580167,214.96
2016-06-15,600,119,49,432,216.95,221.9,215.13,2908522,217.7
2016-06-16,591,132,48,411,217.42,218.04,213.5,2440259,217.93
2016-06-17,503,94,32,377,217.81,219.99,214.5,3112620,215.47
2016-06-20,716,136,27,553,219.5,223.75,218.23,3555471,219.7
2016-06-21,610,127,40,443,220.68,222.57,218.81,4529005,219.61
2016-06-22,5922,1474,739,3709,199.47,205.95,195.75,23742414,196.66
2016-06-23,1907,380,250,1277,195.69,197.55,192.13,10130748,196.4
2016-06-24,866,208,79,579,190.05,195.12,189.73,7026516,193.15
2016-06-27,872,196,115,561,190.86,198.81,187.87,7220323,198.55
2016-06-28,974,186,130,658,201.89,204.05,199.41,6212422,201.79
2016-06-29,780,184,58,538,205.13,211.78,203,5994908,210.19
2016-06-30,820,190,84,546,212.97,213.5,209.02,4843111,212.28
2016-07-01,1687,391,167,1129,206.14,218.24,206,5399951,216.5
2016-07-05,1348,382,125,841,209.73,214.54,208,5175345,213.98
2016-07-06,1434,305,115,1014,210,215.23,209,4919855,214.44
2016-07-07,1217,305,82,830,213.1,218.12,213.01,3612022,215.94
2016-07-08,690,117,52,521,217.8,219.81,214.5,4074785,216.78
2016-07-11,1324,304,203,817,219.96,226.78,219.51,5429823,224.78
2016-07-12,1382,359,197,826,224.1,227.5,223.22,4576165,224.65
2016-07-13,1046,285,76,685,225.5,225.59,220.29,3567062,222.53
2016-07-14,1027,235,63,729,223.12,224.94,221.05,2675834,221.53
2016-07-15,815,187,57,571,222.52,222.75,219.64,2234247,220.4
2016-07-18,841,176,62,603,219.64,227.09,218.3,3412055,226.25
2016-07-19,799,210,79,510,225,229.1,224.75,3115065,225.26
2016-07-20,861,174,63,624,226.47,229.8,225,2568498,228.36
2016-07-21,2278,696,268,1314,226,227.85,219.1,4428651,220.5
2016-07-22,1053,234,71,748,221.99,224.5,218.88,2579692,222.27
2016-07-25,951,268,72,611,222.27,231.39,221.37,4490683,230.01
